name,address,datetime,temp,feelslike,humidity,windspeed,solarradiation,stations
WEST PALM BEACH,"4281 Westroads Drive WEST PALM BEACH,FL 33407",2022-01-31,55.1,54.2,56.8,9.2,399.8,"72203012844,72204992805,C8019,D7488,KPBI"
WEST PALM BEACH,"4281 Westroads Drive WEST PALM BEACH,FL 33407",2022-02-01,67.1,67.2,48.73,18.3,321.9,"72203012844,72204992805,D7488,KPBI"
WEST PALM BEACH,"4281 Westroads Drive WEST PALM BEACH,FL 33407",2022-02-02,72.3,72.3,59.43,21.6,297.3,"72203012844,72204992805,C8019,D7488,KPMP,KFXE,KPBI"
WEST PALM BEACH,"4281 Westroads Drive WEST PALM BEACH,FL 33407",2022-02-03,74.3,74.4,68.98,19.6,298.3,"C8019,D7488,KPMP,KFXE,KPBI"
WEST PALM BEACH,"4281 Westroads Drive WEST PALM BEACH,FL 33407",2022-02-04,75.2,75.5,72.01,16.9,320.1,"D7488,KPMP,KFXE,KPBI"
WEST PALM BEACH,"4281 Westroads Drive WEST PALM BEACH,FL 33407",2022-02-05,71.6,71.7,83.77,13.8,294.3,"D7488,KPMP,KFXE,KPBI"
WEST PALM BEACH,"4281 Westroads Drive WEST PALM BEACH,FL 33407",2022-02-06,72.7,72.9,76.23,10.2,233.9,"D7488,KPMP,KFXE,KPBI"
LANGHORNE,"866 Town Center Drive LANGHORNE,PA 19047",2022-01-30,16.2,7,50.57,15.4,156.5,"KTTN,72409514792,E7502,72408594732,D7364,72511354786,E4814,KPNE"
LANGHORNE,"866 Town Center Drive LANGHORNE,PA 19047",2022-01-31,21.1,16.7,59.96,6.3,146.3,"KTTN,72409514792,D7364,E4814,KPNE,D5416"
LANGHORNE,"866 Town Center Drive LANGHORNE,PA 19047",2022-02-01,26.2,18.9,64.35,10.5,157.1,"KTTN,72409514792,D7364,E4814,E1527,KPNE"
LANGHORNE,"866 Town Center Drive LANGHORNE,PA 19047",2022-02-02,33.6,31.6,89.21,5.4,125.2,"KTTN,E8427,72409514792,F5257,D7364,KPNE,KDYL"
LANGHORNE,"866 Town Center Drive LANGHORNE,PA 19047",2022-02-03,41.6,41.3,97.78,8.6,53,"KTTN,D7364,KPNE,KDYL"
LANGHORNE,"866 Town Center Drive LANGHORNE,PA 19047",2022-02-04,42.8,38.6,92.6,15.4,29.2,"KTTN,D7364,KPNE,KDYL"
LANGHORNE,"866 Town Center Drive LANGHORNE,PA 19047",2022-02-05,24.4,13.7,63.29,19.4,156.1,"KTTN,D7364,E4814,KPNE,KDYL"
LANGHORNE,"866 Town Center Drive LANGHORNE,PA 19047",2022-02-06,23.8,19.2,61.39,9.4,193.4,"KTTN,D7364,E4814,KPNE,KDYL"
LACEY,"4315 Lacey Boulevard LACEY,WA 98503",2022-01-30,44,40.2,75.64,20.1,35.1,"72792024227,KGRF,KOLM,F8782,74207124201,C5218"
LACEY,"4315 Lacey Boulevard LACEY,WA 98503",2022-01-31,41,35.6,77.63,13.9,62.2,"72792024227,KOLM,F3822,74207124201,C5218"
LACEY,"4315 Lacey Boulevard LACEY,WA 98503",2022-02-01,37.2,35,83.13,10,79.5,"72792024227,KOLM,74207124201,D0126,C5218"
LACEY,"4315 Lacey Boulevard LACEY,WA 98503",2022-02-02,35.3,33,95.2,9.3,46.2,"72792024227,KTCM,KGRF,KOLM,C5218"
LACEY,"4315 Lacey Boulevard LACEY,WA 98503",2022-02-03,44.3,40.5,91.07,10.5,82.9,"KTCM,KGRF,KOLM,D0126,C5218"
LACEY,"4315 Lacey Boulevard LACEY,WA 98503",2022-02-04,42.5,38.3,89.43,22.4,60.2,"KTCM,KGRF,KOLM,F6433,F8782,C5218"
LACEY,"4315 Lacey Boulevard LACEY,WA 98503",2022-02-05,41.6,40.3,89.53,10.1,76.9,"KTCM,KGRF,KOLM,D0126,C5218"
LACEY,"4315 Lacey Boulevard LACEY,WA 98503",2022-02-06,36.4,35.9,97.01,5.2,75.4,"KTCM,KGRF,KOLM,F8782,C5218"
CHESAPEAKE,"1738 Lambert Court CHESAPEAKE,VA 23320",2022-01-30,26.9,22.4,50.24,9.5,195.6,"KNFE,KNGU,F8461,KORF,72308013737,72517213762,C3810"
CHESAPEAKE,"1738 Lambert Court CHESAPEAKE,VA 23320",2022-01-31,34.9,32.3,74.77,10.4,124.4,"KNFE,F8461,KORF,72517213762,C3810"
CHESAPEAKE,"1738 Lambert Court CHESAPEAKE,VA 23320",2022-02-01,38.2,33.2,79.56,12.8,164.8,"KNFE,F8461,KORF,72517213762,C3810"
CHESAPEAKE,"1738 Lambert Court CHESAPEAKE,VA 23320",2022-02-02,39.5,36.9,92.41,6.7,147.4,"KNFE,KNGU,F8461,KORF,72308013737,72517213762,C3810"
CHESAPEAKE,"1738 Lambert Court CHESAPEAKE,VA 23320",2022-02-03,54.5,54.5,75.35,15.9,114.1,"KNFE,KNGU,F8461,KORF,C3810"
CHESAPEAKE,"1738 Lambert Court CHESAPEAKE,VA 23320",2022-02-04,61.8,60.3,76.94,19.7,75,"KNFE,KNGU,F8461,KORF,C3810"
CHESAPEAKE,"1738 Lambert Court CHESAPEAKE,VA 23320",2022-02-05,36.5,28.4,58.22,16,168.1,"KNFE,KNGU,D5377,F8461,KORF,C3810"
CHESAPEAKE,"1738 Lambert Court CHESAPEAKE,VA 23320",2022-02-06,34.2,26.2,68.14,13,84.9,"KNFE,KNGU,F8461,KORF,C3810"
COLUMBUS,"5225 Trabue Road COLUMBUS,OH 43228",2022-01-30,21.6,15.1,63.73,8.9,132.5,"KCMH,KTZR,KUYF,KOSU,72428804804,AV747,MOLO1,72428014821"
COLUMBUS,"5225 Trabue Road COLUMBUS,OH 43228",2022-01-31,24.7,22.7,64.64,5.1,137.4,"KCMH,KTZR,KOSU,72428804804,AV747,MOLO1"
COLUMBUS,"5225 Trabue Road COLUMBUS,OH 43228",2022-02-01,37.5,33.2,57.86,14.4,117.3,"KCMH,KTZR,KOSU,72428804804,AV747,MOLO1"
COLUMBUS,"5225 Trabue Road COLUMBUS,OH 43228",2022-02-02,39.8,35.3,79.47,11.8,27.1,"KCMH,KTZR,KUYF,F8882,KOSU,72428804804,AV747"
COLUMBUS,"5225 Trabue Road COLUMBUS,OH 43228",2022-02-03,28.4,16.7,90.32,18.3,30.7,"KCMH,KTZR,KUYF,KOSU,AV747"
COLUMBUS,"5225 Trabue Road COLUMBUS,OH 43228",2022-02-04,19.2,8,81.82,15.8,119.8,"KCMH,KTZR,KUYF,KOSU,AV747"
COLUMBUS,"5225 Trabue Road COLUMBUS,OH 43228",2022-02-05,15.8,8.7,79.83,8.5,133.3,"KCMH,KTZR,KUYF,KOSU,AV747,MOLO1"
COLUMBUS,"5225 Trabue Road COLUMBUS,OH 43228",2022-02-06,22.1,16.8,79.99,8.9,116.2,"KCMH,KTZR,KUYF,KOSU,AV747"
BOTHELL,"21312 30th Dr SE Suite B107 Highlands Campus Tech Centre B BOTHELL,WA 98021",2022-01-30,43,37.2,80.05,17.6,31.9,"KPAE,72793524234,72793494248,72793724222,F8270"
BOTHELL,"21312 30th Dr SE Suite B107 Highlands Campus Tech Centre B BOTHELL,WA 98021",2022-01-31,38.6,34.4,88.45,11,57.3,"KBFI,KPAE,72793524234,72793724222,F8270"
BOTHELL,"21312 30th Dr SE Suite B107 Highlands Campus Tech Centre B BOTHELL,WA 98021",2022-02-01,37.2,34,91.83,7.9,67.2,"KPAE,72793524234,D2690,72793724222,F8270"
BOTHELL,"21312 30th Dr SE Suite B107 Highlands Campus Tech Centre B BOTHELL,WA 98021",2022-02-02,35.5,32.1,93.77,9.4,47.4,"KBFI,KPAE,72793524234,72793724222,F8270,KRNT"
BOTHELL,"21312 30th Dr SE Suite B107 Highlands Campus Tech Centre B BOTHELL,WA 98021",2022-02-03,42.8,39,96.62,10.5,22.6,"KBFI,KPAE,F8270,KRNT"
BOTHELL,"21312 30th Dr SE Suite B107 Highlands Campus Tech Centre B BOTHELL,WA 98021",2022-02-04,44,38.3,91.34,25.4,47.6,"F4154,KBFI,KPAE,F8270,KRNT"
BOTHELL,"21312 30th Dr SE Suite B107 Highlands Campus Tech Centre B BOTHELL,WA 98021",2022-02-05,43.2,41.7,95.35,6.3,49.3,"F2178,F8372,KBFI,KPAE,F8270,KRNT"
BOTHELL,"21312 30th Dr SE Suite B107 Highlands Campus Tech Centre B BOTHELL,WA 98021",2022-02-06,41.6,40.3,91.09,11.9,110.1,"D3422,KBFI,KPAE,F8270,KRNT"
HARTFORD,"244 Murphy Road HARTFORD,CT 6114",2022-01-30,15.4,6.4,36.17,13.9,238.8,"KHFD,E6187,72508714752,KBDL,72508014740,72502754788"
HARTFORD,"244 Murphy Road HARTFORD,CT 6114",2022-01-31,15,14.5,61.54,3.4,227.6,"KHFD,E6187,72508714752,KBDL"
HARTFORD,"244 Murphy Road HARTFORD,CT 6114",2022-02-01,21.3,19.1,65.82,8.1,162,"KHFD,E6187,72508714752,KBDL"
HARTFORD,"244 Murphy Road HARTFORD,CT 6114",2022-02-02,36.9,35.9,74.45,4.7,160.2,"KMMK,KHFD,E6187,72508714752,KBDL"
HARTFORD,"244 Murphy Road HARTFORD,CT 6114",2022-02-03,41.7,39.8,93.45,5.8,74.3,"KMMK,KHFD,E6187,KBDL"
HARTFORD,"244 Murphy Road HARTFORD,CT 6114",2022-02-04,35.7,29.3,88.63,13.9,33.9,"F8789,KMMK,KHFD,E6187,KBDL"
HARTFORD,"244 Murphy Road HARTFORD,CT 6114",2022-02-05,22.7,11.3,55.33,19.7,234,"KMMK,KHFD,E6187,KBDL,F7628"
HARTFORD,"244 Murphy Road HARTFORD,CT 6114",2022-02-06,20.4,13.7,50.67,9.2,238.3,"KMMK,D8353,KHFD,E6187,KBDL"
MAUMEE,"428 W Dussel MAUMEE,OH 43537",2022-01-30,20.9,17.3,69.54,7.3,72.9,"72428704848,72536094830,AU937,MIDRF,KTOL,KTDZ,E7150,72541854823"
MAUMEE,"428 W Dussel MAUMEE,OH 43537",2022-01-31,20.1,17.3,72.46,6.5,225.7,"72536094830,AU937,KTOL,KTDZ,E7150"
MAUMEE,"428 W Dussel MAUMEE,OH 43537",2022-02-01,36.3,31.1,60.73,14.9,196.5,"72536094830,AU937,KTOL,KTDZ,E7150"
MAUMEE,"428 W Dussel MAUMEE,OH 43537",2022-02-02,35.7,30,85.58,15.6,22.2,"72536094830,AU937,KTOL,KTTF,KTDZ,E7150"
MAUMEE,"428 W Dussel MAUMEE,OH 43537",2022-02-03,22.5,9.7,79.16,19.1,27.9,"AU937,MIDRF,KTOL,KTTF,KTDZ,E7150"
MAUMEE,"428 W Dussel MAUMEE,OH 43537",2022-02-04,16.1,5.2,70.26,13.8,100.4,"AU937,MIDRF,KTOL,KTTF,KTDZ,E7150"
MAUMEE,"428 W Dussel MAUMEE,OH 43537",2022-02-05,14.4,8.3,76.28,9.4,114.7,"AU937,MIDRF,KTOL,KTTF,KTDZ,E7150"
MAUMEE,"428 W Dussel MAUMEE,OH 43537",2022-02-06,22.6,12.4,65.1,15.2,275.4,"AU937,KTOL,KTTF,KTDZ,E7150"
READING,"400 Spring Ridge Drive READING,PA 19610",2022-01-30,18.3,9.6,47,15,67.6,"72510954782,72510314712,D9872,F8610,KRDG,72511654737,PMN12"
READING,"400 Spring Ridge Drive READING,PA 19610",2022-01-31,23.2,19.8,60.31,5.8,61,"DE044,72510314712,F8610,KRDG,72511654737,PMN12"
READING,"400 Spring Ridge Drive READING,PA 19610",2022-02-01,26.9,24.2,66.08,6.9,68.3,"DE044,72510314712,F8610,KRDG,72511654737,PMN12"
READING,"400 Spring Ridge Drive READING,PA 19610",2022-02-02,34.4,32,79.95,8,53.2,"DE044,TT136,KLNS,72510314712,KRDG,72511654737,PMN12,KPTW"
READING,"400 Spring Ridge Drive READING,PA 19610",2022-02-03,43.8,42.8,96.06,16.1,7.1,"DE044,TT136,KLNS,F8610,KRDG,PMN12,KPTW"
READING,"400 Spring Ridge Drive READING,PA 19610",2022-02-04,39.5,33.7,87.64,19.6,8.6,"DE044,TT136,KLNS,F8610,KRDG,PMN12,KPTW"
READING,"400 Spring Ridge Drive READING,PA 19610",2022-02-05,24.4,14.6,61.89,20.8,188.9,"DE044,KLNS,F8610,KRDG,PMN12,KPTW"
READING,"400 Spring Ridge Drive READING,PA 19610",2022-02-06,24.4,20.4,56.52,12.7,77.9,"KLNS,F8610,KRDG,PMN12,C4113,KPTW"
WYOMING,"1575 Gezon Parkway SW Suite A WYOMING,MI 49509",2022-01-30,20.6,15.5,74.78,6.8,93.6,"72635094860,A0735900240,72539404839,AV649,MIHVL,MISTN,C1502,KGRR"
WYOMING,"1575 Gezon Parkway SW Suite A WYOMING,MI 49509",2022-01-31,25.5,19.7,74.08,11.6,79.2,"72635094860,KBIV,72539404839,MIHVL,AV649,MISTN,C1502,KGRR"
WYOMING,"1575 Gezon Parkway SW Suite A WYOMING,MI 49509",2022-02-01,35.3,26.9,74.57,21.6,93.3,"72635094860,72539404839,AV649,MIHVL,C1502,KGRR"
