name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike
JACKSONVILLE,2022-02-18,82.7,65.9,72.1,83.9,65.9,72.3
JACKSONVILLE,2022-02-19,71.5,57.8,63.7,71.5,57.8,63.7
JACKSONVILLE,2022-02-20,72.4,53.3,62,72.4,53.3,62
JACKSONVILLE,2022-02-21,77.1,59.6,67.2,77.1,59.6,67.2
JACKSONVILLE,2022-02-22,77.3,65,70.8,77.3,65,70.8
LARGO,2022-02-15,72.8,48.3,59.6,72.8,46.3,59.2
LARGO,2022-02-16,80.9,55.5,67.7,80.2,55.5,67.7
LARGO,2022-02-17,78.2,65,69.9,78.2,65,69.9
LARGO,2022-02-18,73.7,65.2,68.9,73.7,65.2,68.9
LARGO,2022-02-19,66.8,62,64.1,66.8,62,64.1
LARGO,2022-02-20,71,57.3,64.3,71,57.3,64.3
LARGO,2022-02-21,76,63.2,69.3,76,63.2,69.3
LARGO,2022-02-22,76,65.4,70.4,76,65.4,70.4
LAS VEGAS,2022-02-15,65,48.1,59.4,65,47.3,59.2
LAS VEGAS,2022-02-16,63.9,44.3,53.6,63.9,41,52.7
LAS VEGAS,2022-02-17,57.8,43.4,50.1,57.8,36.3,47.4
LAS VEGAS,2022-02-18,62.5,43.2,52.9,62.5,41.5,52
LAS VEGAS,2022-02-19,62.3,45.2,53.9,62.3,43.9,53.5
LAS VEGAS,2022-02-20,62.7,46.8,54.6,62.7,46.8,54.6
LAS VEGAS,2022-02-21,56.4,40.5,48.2,56.4,34.4,45.1
LAS VEGAS,2022-02-22,46.8,38.2,41.9,42.2,31.6,35.6
NEW CASTLE,2022-02-15,33.7,17.2,26,29.3,6.7,19
NEW CASTLE,2022-02-16,51.7,27.4,38.8,51.7,19.2,33.2
NEW CASTLE,2022-02-17,61.1,39.3,49.9,61.1,35.7,48
NEW CASTLE,2022-02-18,60.3,31.7,45.9,60.3,25.6,41
NEW CASTLE,2022-02-19,43.6,24.3,32.4,35.4,12.1,23.7
NEW CASTLE,2022-02-20,38.9,23.1,29.4,31.7,12.2,21.6
NEW CASTLE,2022-02-21,52.4,30.3,40.6,52.4,23.5,37.7
NEW CASTLE,2022-02-22,57.5,41.4,48.2,57.5,39.2,46.8
