name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike
KENT,2022-02-20,43.1,17.9,29.3,35.5,8,20.2
KENT,2022-02-21,50.4,31,40.4,50.4,25.4,36.1
KENT,2022-02-22,51.7,41.8,46.7,51.7,37.1,43.8
DAYTONA BEACH,2022-02-15,70,40.8,56.6,70,39,56.2
DAYTONA BEACH,2022-02-16,74.4,60.2,66.7,74.4,60.2,66.7
DAYTONA BEACH,2022-02-17,78.2,65.2,70.2,78.2,65.2,70.2
DAYTONA BEACH,2022-02-18,82.8,64.7,72.3,84,64.7,72.4
DAYTONA BEACH,2022-02-19,72.2,56.9,64.2,72.2,56.9,64.2
DAYTONA BEACH,2022-02-20,73.8,53.1,62.6,73.8,53.1,62.6
DAYTONA BEACH,2022-02-21,75.1,61.4,68.2,75.1,61.4,68.2
DAYTONA BEACH,2022-02-22,76.7,67,71.6,76.7,67,71.6
ANN ARBOR,2022-02-15,27.9,6.2,19,19.6,-1.6,11.4
ANN ARBOR,2022-02-16,52.4,19.7,38.7,52.4,8.8,31.2
ANN ARBOR,2022-02-17,49.7,19.3,34.2,44.6,2.5,24.5
ANN ARBOR,2022-02-18,24.5,-0.5,13.6,10.3,-14.3,0.7
ANN ARBOR,2022-02-19,26.1,5.4,15.3,11.7,-7.3,0.1
ANN ARBOR,2022-02-20,37.3,5.8,22.9,28.6,-6.7,11.3
ANN ARBOR,2022-02-21,34.1,30.6,32.8,33.2,22.4,27.1
ANN ARBOR,2022-02-22,41.1,32.1,37.3,38,24.8,32
BOISE,2022-02-15,45,30.4,36.5,38.2,21.7,28.7
BOISE,2022-02-16,44.3,29.4,34.6,38,23.3,30
BOISE,2022-02-17,45.4,25.6,33.9,42.6,22.2,31.1
BOISE,2022-02-18,46.7,31.9,37.6,46.7,27.1,35.4
BOISE,2022-02-19,48.3,31.5,38.5,47,26.4,35.2
BOISE,2022-02-20,45.8,33.3,38,40.6,28.7,33.7
BOISE,2022-02-21,42.5,29.9,34.8,34.5,18.9,27.6
BOISE,2022-02-22,37.7,25.1,30.3,26.9,13.2,19.4
COLORADO SPRINGS,2022-02-15,62,32.6,45,62,24.7,41.5
COLORADO SPRINGS,2022-02-16,44.3,22.4,33,38.9,12.8,25.4
COLORADO SPRINGS,2022-02-17,29.6,14.3,22.1,29.6,4,13
COLORADO SPRINGS,2022-02-18,34.2,15.9,23.8,27.3,5.2,15
COLORADO SPRINGS,2022-02-19,42.9,18.4,29.9,36.5,9.2,21.9
COLORADO SPRINGS,2022-02-20,42.9,26.9,33,36.9,17.2,25.2
COLORADO SPRINGS,2022-02-21,39.1,15.2,27.6,33.4,8.6,20.6
COLORADO SPRINGS,2022-02-22,22.2,5.3,11,14.3,-4.7,1.1
LEXINGTON,2022-02-15,54.9,21.5,37.8,54.9,13.4,33.5
LEXINGTON,2022-02-16,61.1,41.4,50.3,61.1,33.5,46.8
LEXINGTON,2022-02-17,62,48.6,55.9,62,43,55.2
LEXINGTON,2022-02-18,43.2,26.9,32.2,35,15.8,23.8
LEXINGTON,2022-02-19,34.6,24.7,30.1,26.2,18.3,21.7
LEXINGTON,2022-02-20,51.9,24.7,35,51.9,16.6,28.9
LEXINGTON,2022-02-21,55.3,36.4,45.9,55.3,29.5,42.4
LEXINGTON,2022-02-22,59.4,48.3,54.4,59.4,43.5,53.2
CONCORD,2022-02-15,61.4,42.2,51.5,61.4,37.8,49.5
CONCORD,2022-02-16,70.2,43.2,55.2,70.2,40.3,54.7
CONCORD,2022-02-17,63.2,44.3,53.7,63.2,39.9,52.7
CONCORD,2022-02-18,65.9,48.3,56.1,65.9,47.4,56
CONCORD,2022-02-19,67.4,50.1,57.2,67.4,50.1,57.2
CONCORD,2022-02-20,61.2,49.4,53.8,61.2,45.5,53.3
CONCORD,2022-02-21,58.4,42.7,50.3,58.4,36.8,47.5
CONCORD,2022-02-22,59.6,47,52.5,59.6,41.5,50.6
WARWICK,2022-02-15,27,8.1,16.6,27,-3,8.2
WARWICK,2022-02-16,36.8,11.6,26.3,30.1,4.3,19.3
WARWICK,2022-02-17,53.7,38.4,45.3,53.7,32.1,41.3
WARWICK,2022-02-18,55.7,29,45,55.7,22.7,41.1
WARWICK,2022-02-19,40,25.8,31.1,32.1,13.3,23.3
WARWICK,2022-02-20,34.6,21.6,28.2,27.5,12.5,18.9
WARWICK,2022-02-21,50.1,33.7,39.8,50.1,24.8,35.2
WARWICK,2022-02-22,48.3,34.1,41.3,46.7,31.5,39.4
HENRICO,2022-02-15,43.1,17.8,29.8,40.8,17.8,27.4
HENRICO,2022-02-16,59.3,27.9,42.2,59.3,21.5,38.8
